case,desc,round-1,round-2,round-3,round-5,round-6,round-7
C01,standalone 起服务(8799 只读模式),PASS,,,,,
C02,/api/state 键结构与旧版一致,PASS,,,,,
C03,lifecycle 桶计数与旧版一致,PASS,,,,,
C04,/api/logs 条数与旧版一致,PASS,,,,,
C05,/api/worker-log 正常返回多轮内容,PASS,,,,,
C06,/api/insights 已移除(404),PASS,,,,,
C07,静态页 index.html 200,PASS,,,,,
C08,Electron 壳启动+内嵌 server(<2s),PASS,,,,,
C09,Electron 下调度器只读(disabled-env)不抢锁,PASS,,,,,
C10,Electron 退出无残留进程,PASS,PASS,PASS,,,
C11,窗口加载真实看板页(标题核验;R7 起标题=ScrumWS),PASS,,,,,
C12,托盘常驻交互(关窗=隐藏进程与API存活;孙鹏实用确认托盘菜单OK),,,PASS,,,
C13,写端点回归(任务链6+派发器5+平台开关4 sandbox),,PASS,,,,
C14,调度器实跑(Electron宿主+SCRUMWS_SCHEDULER=1+sandbox),,PASS,,,,
C15,G5 新 UI 各视图功能与旧版对齐(契约复核+7截图+app.js零改动),,,PASS,,,
C16,打包产物实跑(NSIS实装+自启注册留切换时;见round-4注记),,,PASS,,,
C17,R5 修订:亮色单主题+multica配色对齐(去claude橙;4截图+残留扫描),,,,PASS,,
C18,R6 看板列multica board范式(状态色浅底+实心胶囊;像素对拍参考图),,,,,PASS,
C19,R7 四项:ScrumWS改名+顶栏breadcrumb+来源筛选+归档独立菜单(CDP实点),,,,,,PASS
